"canonicalName","rank","scientificName","vernacularName","sourceDatasetName","sourceDatasetID","datasetSource","sourceDatasetCitation","dataCurrency","sourceLicense","sourceRightsHolder","VulnerableWildfire","vernacularGroup","vernacularSubGroup","preFireImperilmentScore","fireOverlapScore","RISKDueToImperilmentAndFireOverlap ","fireAndPostFireMortalityScore","provisionalPriorityStatus/furtherAssessmentNeeded","Jurisdiction/s","interactiveEffectsOfFireAndDrought","shortFireIntervals(ImpactsOfHighFireFrequency)","postFireHerbivoreImpacts","fireDiseaseInteractions","highFireSeverity","weedInvasion","elevatedWinterTemperaturesOrChangedTemperatureRegimes","fireSensitivity","postFireErosion","cumulativeExposureToHighRisks","otherPlausibleThreatsOrExpertDrivenNominations","curator","recordRightsHolder","accessRights","type","language","recordLicense","bibliographicCitation","created","modified","recordDatasetName"
"Acacia constablei","species","Acacia constablei","Narrabarba Wattle","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia covenyi","species","Acacia covenyi","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","true","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia echinula","species","Acacia echinula","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","","","","","","true","true","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia flocktoniae","species","Acacia flocktoniae","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","","","","","","","true","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia georgensis","species","Acacia georgensis","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","","","","","","true","true","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia hamiltoniana","species","Acacia hamiltoniana","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","true","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia jonesii","species","Acacia jonesii","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia kydrensis","species","Acacia kydrensis","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","","","","","","true","true","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia lanigera var. gracilipes","variety","Acacia lanigera var. gracilipes","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW, Vic","true","true","","","true","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia lucasii","species","Acacia lucasii","Woolly-bear Wattle, Lucas's Wattle","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW, Vic","","","true","","true","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia mabellae","species","Acacia mabellae","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","","","","","","","true","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia meiantha","species","Acacia meiantha","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","true","","","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia olsenii","species","Acacia olsenii","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","","","","true","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
