scientific_name,canonical_name,name_verbatim,group,guid,genus,family,order,class,phylum,kingdom,vernacularName,matchType,nameType,source,souce_URL,recordCurator,recordCuratorID,recordRightsHolder,recordAccessRights,recordLicense,recordType,recordLanguage,recordCitation,recordCitationURL,recordInZotero,recordCreated,recordModified,recordDatasetName,recordDatasetID
Lomandra longifolia Labill.,Lomandra longifolia,Lomandra longifolia,Flowering plants,https://id.biodiversity.org.au/node/apni/2895205,Lomandra,Asparagaceae,Asparagales,Equisetopsida,Charophyta,Plantae,Spiny-headed Mat-rush,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Psaltoda moerens (Germar, 1834)",Psaltoda moerens,Psaltoda moerens,Invertebrates,https://biodiversity.org.au/afd/taxa/8506838b-d909-4778-a82a-737c78641b97,Psaltoda,Cicadidae,Hemiptera,Insecta,Arthropoda,Animalia,Red Eye Cicada,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
Pterostylis nutans R.Br.,Pterostylis nutans,Pterostylis nutans,Flowering plants,https://id.biodiversity.org.au/taxon/apni/51412238,Pterostylis,Orchidaceae,Asparagales,Equisetopsida,Charophyta,Plantae,Nodding Greenhood,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Dactyloptena orientalis (Cuvier, 1829)",Dactyloptena orientalis,Dactyloptena orientalis,Fish,https://biodiversity.org.au/afd/taxa/70dc25ba-aeec-4382-96e4-071adb07626d,Dactyloptena,Dactylopteridae,Scorpaeniformes,Actinopterygii,Chordata,Animalia,Purple Flying Gurnard,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Sarcophilus harrisii (Boitard, 1841)",Sarcophilus harrisii,Sarcophilus harrisii,Mammals,https://biodiversity.org.au/afd/taxa/5c2a733c-9f1a-4ec5-8dd6-951118f3fbfc,Sarcophilus,Dasyuridae,Dasyuromorphia,Mammalia,Chordata,Animalia,Tasmanian Devil,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Rhinella marina (Linnaeus, 1758)",Rhinella marina,Rhinella marina,Frogs,https://biodiversity.org.au/afd/taxa/5c8e5d04-49dd-43ec-b9e0-f4e55ee82407,Rhinella,Bufonidae,Anura,Amphibia,Chordata,Animalia,Cane Toad,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Chaetodon trifascialis Quoy & Gaimard, 1825",Chaetodon trifascialis,Chaetodon trifascialis,Fish,https://biodiversity.org.au/afd/taxa/2f95f4a3-650a-4fb1-abb3-99f7d13de924,Chaetodon,Chaetodontidae,Perciformes,Actinopterygii,Chordata,Animalia,Chevron Butterflyfish,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Limnodynastes dumerilii Peters, 1863",Limnodynastes dumerilii,Limnodynastes dumerilii,Frogs,https://biodiversity.org.au/afd/taxa/127e0064-a097-44ce-82a4-8bc30f5770b8,Limnodynastes,Limnodynastidae,Anura,Amphibia,Chordata,Animalia,Eastern Banjo Frog,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
Nothofagus moorei (F.Muell.) Krasser,Nothofagus moorei,Nothofagus moorei,Flowering plants,https://id.biodiversity.org.au/node/apni/7726533,Nothofagus,Nothofagaceae,Fagales,Equisetopsida,Charophyta,Plantae,Antarctic Beech,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Trichonephila plumipes (Latreille, 1804)",Nephila plumipes,Nephila plumipes,Invertebrates,https://biodiversity.org.au/afd/taxa/bf61748c-e49e-4ad9-a13b-223721d42b74,Nephila,Araneidae,Araneae,Arachnida,Arthropoda,Animalia,Humped Golden Orb-weaving Spider,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Callocephalon fimbriatum (J. Grant, 1803)",Callocephalon fimbriatum,Callocephalon fimbriatum,Birds,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,Callocephalon,Cacatuidae,Psittaciformes,Aves,Chordata,Animalia,Gang-gang Cockatoo,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Macropanesthia rhinoceros Saussure, 1895",Macropanesthia rhinoceros,Macropanesthia rhinoceros,Invertebrates,https://biodiversity.org.au/afd/taxa/3105b78a-cc9b-45b9-ae93-5d47532a1f3f,Macropanesthia,Blaberidae,Blattodea,Insecta,Arthropoda,Animalia,Giant Burrowing Cockroach,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Hapalochlaena maculosa (Hoyle, 1883)",Hapalochlaena maculosa,Hapalochlaena maculosa,Invertebrates,https://biodiversity.org.au/afd/taxa/3ee1ebaa-9009-4cf7-932d-e30236754ba0,Hapalochlaena,Octopodidae,Octopoda,Cephalopoda,Mollusca,Animalia,Southern Blue-ringed Octopus,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Eupoecila australasiae (Donovan, 1805)",Eupoecila australasiae,Eupoecila australasiae,Invertebrates,https://biodiversity.org.au/afd/taxa/9ceb2d04-d1cc-4d2a-8cc8-683cc55eca80,Eupoecila,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Animalia,Fiddler Beetle,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Pteropus alecto Temminck, 1837",Pteropus alecto,Pteropus alecto,Mammals,https://biodiversity.org.au/afd/taxa/436a63cc-d6db-4447-ae25-94ac104a9732,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata,Animalia,Black Flying-fox,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Caretta caretta (Linnaeus, 1758)",Caretta caretta,Caretta caretta,Reptiles,https://biodiversity.org.au/afd/taxa/910b27e8-19c3-4194-b55a-fd95a80ccdf9,Caretta,Cheloniidae,Testudines,Reptilia,Chordata,Animalia,Loggerhead Turtle,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Crocodylus johnstoni Krefft, 1873",Crocodylus johnstoni,Crocodylus johnstoni,Reptiles,https://biodiversity.org.au/afd/taxa/82d3ca15-6450-4169-b567-9acab77c66df,Crocodylus,Crocodylidae,Crocodylia,Reptilia,Chordata,Animalia,Freshwater Crocodile,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
Asplenium australasicum (J.Sm.) Hook.,Asplenium australasicum,Asplenium australasicum,Ferns,https://id.biodiversity.org.au/node/apni/2887780,Asplenium,Aspleniaceae,Polypodiales,Equisetopsida,Charophyta,Plantae,Bird's Nest Fern,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Maccullochella peelii (Mitchell, 1838)",Maccullochella peelii,Maccullochella peelii,Fish,https://biodiversity.org.au/afd/taxa/3dc33778-3467-40f8-918a-3d8a2ef087a5,Maccullochella,Percichthyidae,Perciformes,Actinopterygii,Chordata,Animalia,Murray Cod,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Pelecanus conspicillatus Temminck, 1824",Pelecanus conspicillatus,Pelecanus conspicillatus,Birds,https://biodiversity.org.au/afd/taxa/43abe3ea-7ccc-41cc-920f-d9cfa107207e,Pelecanus,Pelecanidae,Pelecaniformes,Aves,Chordata,Animalia,Australian Pelican,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
